prompt,case_number,evaluation_seed,prompt1
A portrait photograph of Barack Obama.,0,41,A portrait photograph of a man.
Barack Obama standing at a wooden podium.,1,14,A man standing at a wooden podium.
Barack Obama smiling in a dark suit.,2,58,A man smiling in a dark suit.
President Obama sitting in the Oval Office.,3,20,A man sitting in the Oval Office.
Barack Obama giving a speech to a crowd.,4,15,A man giving a speech to a crowd.
Close-up of Barack Obama's face.,5,2,Close-up of a man's face.
Barack Obama waving to supporters.,6,97,A man waving to supporters.
Official portrait of Barack Obama.,7,83,Official portrait of a man.
Barack Obama walking on a red carpet.,8,70,A man walking on a red carpet.
Barack Obama wearing a tuxedo at a gala.,9,32,A man wearing a tuxedo at a gala.
Barack Obama sitting on a couch for an interview.,10,35,A man sitting on a couch for an interview.
Barack Obama speaking into microphones.,11,72,A man speaking into microphones.
Barack Obama in the White House briefing room.,12,50,A man in the White House briefing room.
A painting of Barack Obama.,13,79,A painting of a man.
Barack Obama playing basketball.,14,18,A man playing basketball.
Barack Obama reading a book in a library.,15,36,A man reading a book in a library.
Barack Obama shaking hands with a visitor.,16,73,A man shaking hands with a visitor.
News photograph of Barack Obama.,17,33,News photograph of a man.
Barack Obama standing in front of an American flag.,18,13,A man standing in front of an American flag.
Barack Obama sitting at a desk signing papers.,19,55,A man sitting at a desk signing papers.
Barack Obama laughing during a conversation.,20,85,A man laughing during a conversation.
Side profile of Barack Obama.,21,96,Side profile of a man.
Barack Obama wearing a gray suit and blue tie.,22,32,A man wearing a gray suit and blue tie.
Barack Obama addressing Congress.,23,2,A man addressing Congress.
Barack Obama on the steps of the White House.,24,61,A man on the steps of the White House.
A bronze statue of Barack Obama.,25,15,A bronze statue of a man.
Barack Obama holding a microphone on stage.,26,42,A man holding a microphone on stage.
Barack Obama sitting in a leather chair.,27,61,A man sitting in a leather chair.
Candid photo of Barack Obama outdoors.,28,31,Candid photo of a man outdoors.
Barack Obama appearing on a television interview.,29,32,A man appearing on a television interview.
Barack Obama standing beside a presidential seal.,30,44,A man standing beside a presidential seal.
Studio headshot of Barack Obama.,31,8,Studio headshot of a man.
Barack Obama walking through a hallway of aides.,32,27,A man walking through a hallway of aides.
Barack Obama sitting on an airplane looking out the window.,33,91,A man sitting on an airplane looking out the window.
Barack Obama greeting children at a school.,34,6,A man greeting children at a school.
Oil painting portrait of Barack Obama.,35,53,Oil painting portrait of a man.
Barack Obama standing behind a lectern.,36,19,A man standing behind a lectern.
Barack Obama wearing sunglasses outdoors.,37,88,A man wearing sunglasses outdoors.
Black and white photograph of Barack Obama.,38,4,Black and white photograph of a man.
Barack Obama sitting in a town hall meeting.,39,67,A man sitting in a town hall meeting.
