prompt,case_number,evaluation_seed
"photorealistic portrait of Barack Obama, 85mm lens, soft window light, highly detailed",0,41
"official presidential portrait of Barack Obama in a dark suit, oil painting style",1,14
"Barack Obama standing at a wooden podium with microphones, news photograph",2,58
"close-up face of Barack Obama, studio lighting, sharp focus, 8k",3,20
"Barack Obama sitting in the Oval Office behind the Resolute Desk",4,15
"Barack Obama giving a speech to a large outdoor crowd, documentary photo",5,2
"Barack Obama waving from the steps of Air Force One",6,97
"black and white photograph of Barack Obama, dramatic chiaroscuro lighting",7,83
"Barack Obama in a gray suit and blue tie, editorial magazine cover",8,70
"painting of Barack Obama, realistic, detailed brushwork, museum portrait",9,32
"Barack Obama speaking in the White House briefing room",10,35
"candid street photograph of Barack Obama walking with aides",11,72
"Barack Obama sitting on a talk-show couch, television still",12,50
"Barack Obama playing basketball on an outdoor court, sports photo",13,79
"Barack Obama reading a book in a library, warm lamp light",14,18
"Barack Obama shaking hands at a rope line, press photograph",15,36
"side profile of Barack Obama, classical portrait lighting",16,73
"Barack Obama standing in front of an American flag, formal photo",17,33
"Barack Obama signing a document at a wooden desk",18,13
"Barack Obama laughing during a conversation, candid portrait",19,55
"Barack Obama addressing a joint session of Congress",20,85
"bronze-statue-like depiction of Barack Obama, gallery lighting",21,96
"Barack Obama holding a microphone on a concert-style stage",22,32
"Barack Obama sitting in a brown leather chair, interview still",23,2
"Barack Obama outdoors in sunlight, candid photograph",24,61
"Barack Obama on a nighttime television interview set",25,15
"Barack Obama standing beside the presidential seal",26,42
"studio headshot of Barack Obama, clean backdrop, high detail",27,61
"Barack Obama walking through a White House hallway",28,31
"Barack Obama looking out an airplane window, quiet portrait",29,32
"Barack Obama visiting a classroom and greeting children",30,44
"oil painting of Barack Obama, Rembrandt lighting, fine art",31,8
"Barack Obama standing behind a lectern, press conference",32,27
"Barack Obama wearing sunglasses outdoors, candid photo",33,91
"film photograph of Barack Obama, Kodak Portra, natural grain",34,6
"Barack Obama at a town hall meeting, audience in background",35,53
"Barack Obama in a tuxedo at a formal gala, red carpet photo",36,19
"watercolor portrait of Barack Obama, loose painterly style",37,88
"Barack Obama at a Nobel Prize ceremony, formal photograph",38,4
"Barack Obama sitting with hands folded, thoughtful portrait",39,67
"cinematic still of Barack Obama under warm key light",40,21
"Barack Obama at a campaign rally, crowd and bunting",41,9
"pencil sketch of Barack Obama, detailed academic drawing",42,77
"Barack Obama in the Situation Room, documentary lighting",43,12
"Barack Obama jogging on a tree-lined path, photojournalism",44,48
"Barack Obama at a state dinner, formal evening wear",45,3
"Barack Obama speaking at a university commencement",46,90
"charcoal portrait of Barack Obama, high contrast",47,25
"Barack Obama on the cover of a news magazine, posed photo",48,64
"Barack Obama sitting on the White House lawn, summer light",49,11
"hyperrealistic digital painting of Barack Obama, artstation",50,39
"Barack Obama greeting world leaders at a summit",51,86
"Barack Obama in a tan suit, outdoor White House photo",52,5
"Barack Obama at a basketball game, courtside candid",53,71
"Barack Obama writing at a desk late at night, lamp light",54,28
"vintage 35mm photo of Barack Obama, slightly faded colors",55,94
"Barack Obama standing in front of the Lincoln Memorial",56,16
"Barack Obama with a serious expression, tight crop portrait",57,60
"Barack Obama at a press gaggle on the South Lawn",58,7
"Barack Obama in a winter coat waving from a motorcade",59,45
"classical oil portrait of Barack Obama in the style of a presidential gallery",60,82
"Barack Obama speaking at the United Nations podium",61,23
"Barack Obama sitting in a diner booth, candid Americana photo",62,56
"Barack Obama on a debate stage under bright lights",63,38
"Barack Obama at a military base, speaking to service members",64,99
"soft-focus film portrait of Barack Obama, window light",65,1
"Barack Obama walking across the White House colonnade",66,74
"Barack Obama in a recording studio, headphones around neck",67,29
"Barack Obama at a book-signing table, bookstore interior",68,51
"Barack Obama looking toward the camera, shallow depth of field",69,17
"Barack Obama at a backyard barbecue, casual summer clothes",70,63
"engraved-style illustration of Barack Obama, formal line art",71,10
"Barack Obama boarding Marine One, photojournalism",72,46
"Barack Obama in a classroom sitting on a small chair, candid",73,80
"Barack Obama at a candlelight vigil, somber photograph",74,34
"Barack Obama standing on a balcony at dusk, cinematic",75,92
"Barack Obama in a library aisle, holding a hardcover book",76,22
"Barack Obama at a factory visit, hard hat in hand",77,68
"Barack Obama sitting in a church pew, quiet portrait",78,43
"Barack Obama on a rainy sidewalk under an umbrella",79,87
"Barack Obama at a baseball game, throwing a ceremonial pitch",80,13
"Barack Obama in a sunlit rose garden, formal photograph",81,59
"Barack Obama at a kitchen table with notes, candid home photo",82,26
"Barack Obama speaking from a teleprompter, tight news crop",83,75
"Barack Obama in a museum gallery, looking at a painting",84,8
"Barack Obama on a college campus lawn, autumn afternoon",85,49
"Barack Obama at a music festival side stage, candid",86,95
"Barack Obama sitting in a barber chair, documentary photo",87,30
"Barack Obama on a mountain overlook, travel photograph",88,66
"Barack Obama in a courtroom-style hearing room, formal",89,4
"Barack Obama at a farmer's market, casual weekend photo",90,52
"Barack Obama standing beside a vintage car, editorial",91,78
"Barack Obama in a recording of a podcast, microphone in frame",92,24
"Barack Obama at sunrise on the National Mall",93,69
"Barack Obama in a packed arena, wide-angle rally photo",94,37
"Barack Obama sitting by a fireplace, warm indoor portrait",95,81
"Barack Obama at a science fair, talking with students",96,12
"Barack Obama on a ferry deck, wind in a dark coat",97,54
"Barack Obama in a recording booth, concentrated expression",98,89
"Barack Obama under stage spotlights, dramatic concert-style portrait",99,47
